Date	Site	Temp.avg	Temp.max
2022-08-04	Standing Stone	17.4460596064815	19.4776666666667
2022-08-05	Big Poe	19.7480208333333	21.079
2022-08-05	East Branch	15.9096111111111	17.2715
2022-08-05	Shaver's Creek	19.2747766203704	20.9146666666667
2022-08-05	Standing Stone	17.2792146990741	19.2706666666667
2022-08-06	Big Poe	20.7938333333333	22.202
2022-08-06	East Branch	16.27565625	18.0685
2022-08-06	Shaver's Creek	19.8781631944444	21.5356666666667
2022-08-06	Standing Stone	17.9659189814815	20.1676666666667
2022-08-07	Big Poe	21.1405208333333	22.321
2022-08-07	East Branch	16.4782222222222	17.8545
2022-08-07	Shaver's Creek	20.0889722222222	21.7273333333333
2022-08-07	Standing Stone	18.4114930555556	20.5806666666667
2022-08-08	Big Poe	21.2344375	22.657
2022-08-08	East Branch	16.6157951388889	18.2115
2022-08-08	Shaver's Creek	20.3157488425926	22.062
2022-08-08	Standing Stone	18.5686105324074	20.6673333333333
2022-08-09	Big Poe	21.3149791666667	22.369
2022-08-09	East Branch	16.9147326388889	18.6285
2022-08-09	Shaver's Creek	20.7255069444444	22.0453333333333
2022-08-09	Standing Stone	18.9353998842593	20.9383333333333
2022-08-10	Big Poe	20.8590833333333	21.867
2022-08-10	East Branch	16.6089340277778	18.164
2022-08-10	Shaver's Creek	20.3331655092593	21.304
2022-08-10	Standing Stone	18.3376371527778	19.7226666666667
2022-08-11	Big Poe	20.0524375	21.366
2022-08-11	East Branch	16.1953368055556	18.092
2022-08-11	Shaver's Creek	19.5992430555556	20.954
2022-08-11	Standing Stone	17.8008396990741	19.699
2022-08-12	Big Poe	17.966375	19.484
2022-08-12	East Branch	15.2128576388889	16.973
2022-08-12	Shaver's Creek	18.2639803240741	19.9053333333333
2022-08-12	Standing Stone	16.8587569444444	19.1443333333333
2022-08-13	Big Poe	16.339875	18.224
2022-08-13	East Branch	14.2977673611111	16.2225
2022-08-13	Shaver's Creek	16.6916631944444	18.5323333333333
2022-08-13	Standing Stone	15.5978767361111	18.184
2022-08-14	Big Poe	16.5787291666667	17.962
2022-08-14	East Branch	14.5567326388889	16.3415
